Dissolved oxygen,pH,Conductivity,Nitrate,Fecal coliform,Total coliform,Biological oxygen demand,WQI
8.35,5.71,2.26,0.1,10.0,5172.0,1.0,17.907111799665046
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.26002435024099
8.65,5.51,6.65,0.03,1.0,109.2,1.0,11.666149485030964
6.48,5.3,3.26,0.02,10.0,960.0,1.0,18.846499621134615
7.3,5.43,4.0,0.0298,20.0,496.0,1.0,17.277809445389156
9.8,5.67,6.0,0.05,272.0,6867.0,1.0,16.405583442898234
8.23,5.77,2.74,0.1,10.0,341.0,1.0,18.45684113717748
7.2,5.22,4.0,0.02,10.0,798.0,1.0,13.95837275713373
31.5,5.21,3.91,0.1,96.0,2755.0,7.8,-40.58146375211444
6.83,5.25,6.17,0.09,63.0,1669.0,1.0,17.632921578011334
8.44,4.78,7.17,0.02,86.0,12997.0,1.0,4.737972652865405
8.3,5.82,4.0,0.02,13.0,1733.0,1.0,19.353911040844224
7.4,4.55,11.0,0.26,85.0,2603.0,2.0,12.30605260848322
6.0,5.45,8.0,0.1,10.0,187.0,1.0,23.598036307629187
6.18,5.13,5.46,0.1,74.0,882.0,1.0,18.747380683679417
5.3,4.82,3.0,0.02,20.0,576.0,1.0,16.328261407607176
7.6,5.18,4.83,0.02,9.8,81.3,1.0,11.176865448917038
7.04,5.19,5.77,0.1,10.0,1106.0,1.0,14.284705156300495
6.87,4.98,4.58,0.02,41.0,6131.0,1.0,13.24665445646865
7.23,5.17,7.92,0.04,10.0,631.0,1.0,12.912285714804783
7.28,5.44,3.0,0.1,10.0,120.0,1.0,17.250536735267712
6.8,4.55,2.6,0.02,79.0,345.0,1.0,5.679923877546679
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.26002435024099
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.26002435024099
8.22,6.04,5.81,0.02,5.2,275.5,1.0,23.062581468004808
6.77,5.08,5.0,0.1,10.0,52.0,1.0,13.440953230040463
8.16,5.71,6.46,0.02,2.0,74.8,1.0,17.508308104476846
7.27,6.2,3.0,0.1,10.0,691.0,0.0,21.764283364469893
6.7,5.16,4.6,0.02,20.0,1313.0,1.0,15.657820625481442
6.7,5.0,5.0,0.02,88.0,187.0,1.0,14.13644710083437
6.78,5.2,5.0,0.09,223.0,1178.0,1.0,20.437541946308727
5.9,5.42,4.69,0.08,52.0,1455.0,1.0,24.765583106028085
7.12,5.3,4.62,0.005,30.0,960.0,1.0,16.20876977632548
6.19,5.2,5.61,0.1,31.0,663.0,1.0,18.914233091158565
7.07,5.09,7.8,0.03,41.0,512.0,1.0,12.952052258266836
8.5,5.39,4.39,0.1,20.0,426.0,1.0,10.802672501067692
7.45,5.62,3.36,0.1,20.0,327.0,1.0,19.824147151536085
8.1,5.6,25.5,0.13,2.0,2.0,2.0,24.73992556643937
6.9,5.09,4.45,0.02,156.0,1254.0,1.0,16.47726730838998
7.1,5.23,5.0,0.02,199.0,2481.0,1.0,19.168336734876426
5.32,4.95,5.0,0.2,108.0,3076.0,1.0,21.00930205339165
7.9,5.54,2.15,0.03,10.0,754.0,1.0,16.135935294726796
9.61,4.91,9.0,0.1,10.0,833.0,1.0,-2.9990808426882754
7.26,5.47,4.92,0.02,30.0,1860.0,1.0,18.68682326426272
7.38,5.64,2.12,0.03,10.0,288.0,1.0,20.27019621145803
7.57,5.9,1.89,0.09,20.0,345.0,1.0,24.109386534291577
7.4,5.09,3.0,0.02,5.0,214.0,1.0,10.499650251775677
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.26002435024099
6.67,5.35,3.76,0.03,31.0,1046.0,1.0,19.285248657550415
7.8,4.3,2.1,0.02,50.0,1300.0,1.0,-3.9008277663461333
8.35,4.73,12.0,0.1,98.0,2046.0,1.0,2.1549887668022953
8.6,5.7,3.0,0.04,6.0,206.0,1.0,15.336902570806327
6.71,5.06,3.0,0.1,30.0,471.0,1.0,13.917356576186187
7.5,5.72,4.0,0.02,12.0,461.0,1.0,21.163320849362783
5.6,5.0,96.0,0.049,50.0,80.0,1.0,18.58715116714573
7.61,5.86,2.59,0.03,20.0,2481.0,1.0,23.688966331221973
8.75,5.7,2.0,0.1,20.0,1376.0,1.0,15.190346926648537
7.79,5.35,2.25,0.1,10.0,327.0,1.0,13.280466008257052
7.7,5.46,2.59,0.02,52.0,789.0,1.0,16.645776991887164
8.0,5.03,2.8,0.02,10.0,1112.0,1.0,6.881001828504096
7.85,5.88,1.9,0.09,10.0,845.0,1.0,22.30453404380025
7.0,5.19,4.47,0.1,74.0,1106.0,1.0,15.893193611317955
5.96,5.27,3.43,0.09,41.0,448.0,1.0,21.407891828205017
7.27,5.21,3.58,0.02,20.0,6131.0,1.0,14.84945504862222
7.9,5.15,2.0,0.02,8.0,228.0,1.0,9.20487693792925
7.93,5.27,8.9,0.02,2.0,19.7,1.0,10.96604795057727
7.8,5.49,2.4,0.02,20.0,794.0,1.0,15.9782915058131
7.61,5.4,2.5,0.1,10.0,226.0,1.0,14.991992423111709
6.12,5.07,4.41,0.02,74.0,1565.0,1.0,18.136785802498647
7.15,5.58,2.45,0.02,10.0,697.0,1.0,20.424778389258943
7.74,5.86,2.9,0.02,10.0,583.0,1.0,22.42118481377321
6.52,5.12,2.13,0.02,31.0,480.0,1.0,15.88804618405283
7.0,5.6,3.0,0.02,10.0,1720.0,1.0,21.720074896835694
7.6,3.0,3.0,0.02,31.0,2187.0,1.0,-25.726843024237326
8.13,5.39,3.03,0.03,41.0,1281.0,1.0,13.228717116064441
6.5,5.05,3.0,0.03,9.0,488.0,1.0,14.285457669655099
8.2,5.66,3.0,0.02,199.0,7270.0,1.0,22.399237203266384
7.86,5.41,2.32,0.03,10.0,591.0,1.0,14.035915751017109
6.19,5.48,3.57,0.02,20.0,1106.0,1.0,23.619628884313446
7.63,5.88,2.67,0.02,10.0,422.0,1.0,23.261848686744433
7.08,5.35,5.31,0.1,203.0,1050.0,1.0,21.128054701745878
10.01,5.19,8.0,0.1,20.0,882.0,1.0,0.16845736807212633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.26002435024099
6.43,5.15,5.23,0.1,185.0,3076.0,1.0,20.83373955730469
8.05,5.79,2.5,0.02,41.0,5794.0,1.0,21.55395911873481
7.17,5.18,8.39,0.03,1.0,209.8,1.0,13.081138370202478
7.9,5.5,2.27,0.02,1.0,40.8,1.0,15.08357936502945
7.12,5.73,2.85,0.09,41.0,907.0,1.0,23.91292161071311
7.4,5.09,17.0,0.02,34.0,1300.0,1.0,11.384862008313513
163.0,7.5,231.0,2.67,220.0,1300.0,6.3,-643.9963666027726
7.2,4.5,12.0,0.3,10.0,1296.0,2.0,10.455962371163416
6.86,4.91,5.35,0.41,249.0,5794.0,1.0,16.651081016049577
8.3,5.96,10.0,0.05,20.0,235.0,1.0,21.611910732273678
7.2,4.9,4.0,0.02,26.0,291.0,1.0,8.645987024664407
7.2,5.32,3.0,0.03,30.0,579.0,1.0,16.089094169358273
8.82,4.89,9.0,0.1,10.0,644.0,1.0,0.41258846946771766
7.5,5.5,3.1,0.02,116.0,435.0,1.0,19.640357848899935
6.88,5.41,5.09,0.1,155.0,1106.0,1.0,22.08175715966122
7.88,6.03,21.0,0.1,10.0,961.0,1.0,24.794760910931572
