17_OD_mgl_02,18_PH,50_Condutivida_de_Eletrica_us_cm_a_20c,13_Nitratos_mgl_n),46_Coliformes_Fecais_nmp_100ml,47_Coliformes_Totais_nmp_100ml,7_DBO_mgl_02)
,,679.0,,,,
,,196.0,,,,
,,160.0,,,,
,,290.0,,,,
,,1470.0,,,,
,,,,,,
,6.9,260.0,,,,
4.3,6.5,1664.0,0.88,,,
,6.7,313.0,,,,
18.0,7.1,144.0,,,,
10.0,6.5,606.0,,,,
7.0,6.6,750.0,,,,
,6.5,240.0,,,,
,,1225.0,,,,
6.0,6.4,92.0,,,,
,,620.0,,,,
,5.4,1000.0,,,,
,,1224.0,,,,
7.0,6.1,1200.0,,,,
5.0,6.4,530.0,,,,
,,4094.0,,,,
6.5,6.0,294.0,,,,
12.0,8.1,74.0,,,,
,,2496.0,,,,
,,132.0,,,,
,,3052.0,,,,
9.0,7.2,141.0,,,,
,,3162.0,,,,
4.0,6.5,588.0,,,,
6.0,,3290.0,,,,
,,1692.0,,,,
,,1728.0,,,,
,,1598.0,,,,
,,4316.0,,,,
,5.5,1219.0,,,,
4.5,7.2,27300.0,,,,
4.0,6.9,90.0,,,,
,6.2,2156.0,0.88,,,
3.0,6.3,245.0,,,,
6.2,6.0,1862.0,0.88,,,
,4.1,1320.0,,,,
4.0,8.8,48.0,0.88,,,
,,2156.0,,,,
7.3,5.1,1976.0,0.88,,,
,,1470.0,,,,
2.9,4.6,3404.0,0.88,,,
,,1519.0,,,,
4.0,6.7,3456.0,0.88,,,
,,1456.0,,,,
3.4,5.7,4018.0,0.88,,,
,,3060.0,,,,
3.9,6.4,1044.0,0.66,,,
,,2644.0,,,,
,,2744.0,,,,
,,1176.0,,,,
,,2106.0,,,,
4.8,,3204.0,,,,
,,1424.0,0.88,,,
5.2,,4182.0,,,,
3.5,8.2,107.0,0.88,,,
4.5,6.0,2848.0,1.8,,,
3.7,5.4,2408.0,1.8,,,
6.6,5.5,5187.0,1.8,,,
5.5,6.0,3552.0,0.88,,,
3.6,6.3,2093.0,0.88,,,
3.4,7.1,91.2,0.66,,,
,6.5,1104.0,0.88,,,
,7.6,163.5,0.88,,,
,6.0,2352.0,0.88,,,
5.0,6.2,830.0,0.88,,,
,6.6,518.4,0.88,,,
,6.2,1960.0,0.66,,,
,6.2,2726.0,,,,
,6.6,2912.0,0.88,,,
,6.2,3219.0,,,,
6.0,6.8,765.0,0.88,,,
4.9,6.5,3038.0,0.88,,,
4.0,6.9,124.8,1.1,,,
6.0,6.9,1786.0,0.88,,,
,6.0,3234.0,,,,
,5.6,4182.0,1.8,,,
4.6,6.6,180.0,2.6,,,
,5.6,4680.0,1.8,,,
5.1,6.7,2880.0,0.88,,,
6.1,6.2,3120.0,1.8,,,
,4.2,2940.0,1.8,,,
6.5,7.2,521.7,0.66,,,
7.0,7.2,438.6,0.22,,,
,,2492.0,0.88,,,
6.9,6.9,322.4,2.6,,,
7.0,3.0,5564.0,1.8,,,
7.0,7.0,4033.0,0.88,,,
4.5,7.4,41.42,0.88,,,
,,,1.8,,,
9.0,7.4,153.0,0.88,,,
,5.8,408.0,2.6,,,
,5.4,4000.0,3.7,,,
,6.0,3920.0,2.2,,,
6.8,6.3,5612.0,0.9,,,
,,4095.0,1.8,,,
6.4,4.0,5500.0,1.3,,,
,6.4,5005.0,1.8,,,
,2.9,8175.0,0.44,,,
,7.2,4320.0,1.8,,,
,5.8,4350.0,3.5,,,
,6.2,555.0,1.8,,,
,8.0,5760.0,2.2,,,
,6.0,4900.0,0.4,,,
,5.4,3100.0,3.7,,,
,4.8,4140.0,1.8,,,
,3.9,6048.0,5.5,,,
,6.1,3500.0,1.3,,,
5.6,5.0,4508.0,0.9,,,
,2.6,5280.0,1.8,,,
,1.5,6200.0,1.8,,,
,1.9,5720.0,1.8,,,
4.6,3.4,4350.0,0.88,,,
,6.0,4160.0,1.8,,,
,6.4,5200.0,1.3,,,
7.2,5.8,5760.0,1.8,,,
6.8,5.8,4368.0,0.4,,,
7.4,6.3,4608.0,0.7,,,
6.8,3.7,5390.0,1.1,,,
7.8,6.3,4128.0,1.3,,,
5.1,6.6,3640.0,0.4,,,
7.2,6.3,5704.0,1.1,,,
7.6,6.5,4000.0,0.9,,,
5.8,6.6,4230.0,1.8,,,
6.5,6.4,5100.0,0.4,,,
7.0,7.3,35.0,0.0,,,
8.0,7.5,57.0,,,,
8.0,7.7,61.0,,,,
8.0,7.3,65.0,,,,
9.0,7.9,52.0,0.02,,,
6.0,7.5,150.0,,,,
7.0,7.3,51.0,,,,
7.0,7.4,49.0,,,,
8.0,7.7,49.0,,,,
8.0,8.2,50.0,,,,
8.0,7.8,50.0,,,,
11.0,7.3,51.0,,,,
10.0,7.2,56.0,,,,
15.0,7.5,88.0,,,,
15.0,7.3,52.0,,,,
10.0,7.0,49.0,,,,
8.0,7.1,51.0,,,,
7.0,6.7,56.0,,,,
7.0,6.95,50.0,,,,
4.0,6.7,96.0,,,,
9.0,7.0,58.0,,,,
6.0,6.8,51.0,,,,
4.0,6.5,65.0,,,,
3.0,6.7,59.0,,,,
3.0,6.7,61.0,,,,
5.0,6.8,49.0,,,,
3.0,6.8,51.0,,,,
3.0,6.7,58.0,,,,
5.0,6.6,55.0,,,,
5.0,6.8,51.0,,,,
5.0,6.7,55.0,,,,
6.0,6.8,54.0,,,,
6.0,6.9,48.0,,,,
4.0,6.9,54.0,,,,
9.0,6.8,45.0,,,,
8.0,6.5,58.0,,,,
8.0,6.8,54.0,,,,
7.0,7.1,52.0,,,,
7.0,6.7,59.0,,,,
6.7,6.7,60.0,,,,
6.2,6.8,66.0,,,,
0.2,7.3,63.0,0.0,,,
5.4,8.1,53.0,0.0,,,
6.6,7.0,56.0,0.0,,,
4.9,6.9,72.0,0.0,,,
6.8,7.1,57.0,,,,
5.0,7.0,60.0,0.0,,,
4.6,7.1,57.0,0.0,,,
3.1,7.0,52.0,0.01,,,
3.4,7.2,54.0,0.0,,,
5.0,6.8,58.0,,,,
4.0,7.0,55.0,,,,
4.0,6.8,52.0,,,,
4.0,6.8,25.5,,,,
6.0,6.7,48.0,,,,
6.0,6.9,51.0,,,,
10.0,6.7,53.0,,,,
8.0,6.5,45.0,,,,
8.0,6.6,50.0,,,,
7.0,6.7,56.0,,,,
6.4,6.8,54.0,,,,
6.1,6.9,61.0,,,,
6.7,7.1,73.0,0.0,,,
6.5,6.9,54.0,0.0,,,
4.5,7.0,80.0,0.0,,,
5.5,7.0,60.0,0.0,,,
4.3,7.2,68.0,0.0,,,
4.7,7.0,64.0,0.0,,,
3.4,7.3,50.0,0.0,,,
3.2,7.2,69.0,0.04,,,
4.0,7.2,56.0,0.0,,,
8.0,7.1,53.0,0.0,,,
3.0,7.2,57.0,0.0,,,
