index,Dissolved oxygen,pH,Conductivity,Nitrate,Fecal coliform,Total coliform,Biological oxygen demand,WQI
0,7.1,7.64,23.2,0.02,50.0,1700.0,2.0,66.38482539490882
1,7.1,7.6,23.2,0.02,50.0,1700.0,2.0,65.6905416642909
2,7.1,6.9,16.9,0.14,170.0,300.0,2.0,55.89810757303117
3,6.9,7.2,19.6,0.04,110.0,3000.0,2.0,61.326791523142234
4,6.9,7.0,27.2,0.12,230.0,1700.0,2.0,60.23373905329214
5,6.4,6.9,52.0,0.07,300.0,500.0,2.0,62.18707754623808
6,7.4,6.9,56.6,0.01,50.0,170.0,2.0,51.76500150791497
7,7.2,7.2,17.6,0.78,220.0,1100.0,6.0,97.38626708457852
8,6.5,6.8,12.0,0.02,110.0,800.0,3.0,64.66971108964533
9,7.8,7.0,15.7,0.01,80.0,300.0,2.0,52.25996435996208
10,8.2,7.0,21.1,0.04,110.0,500.0,2.0,51.048233979347025
11,7.1,6.8,22.4,0.07,17.0,300.0,2.0,50.77003046575146
12,8.1,6.41,16.6,0.13,80.0,1700.0,2.0,40.899136831192905
13,7.2,6.77,19.18,0.1,50.0,80.0,2.0,50.45240334097493
14,7.8,6.2,20.8,0.04,110.0,140.0,2.0,39.00719730179653
15,7.2,5.6,59.5,0.01,500.0,2400.0,2.0,40.61574654856575
16,8.1,6.7,16.6,0.13,80.0,1700.0,2.0,45.93269387817278
17,7.2,7.0,19.18,0.1,50.0,80.0,2.0,54.44453479202794
18,8.3,7.46,18.3,0.01,170.0,280.0,2.0,59.82663631341487
19,7.4,6.6,9.5,0.06,500.0,1300.0,2.0,56.76161901222207
20,7.9,6.5,16.1,0.04,50.0,300.0,2.0,42.439782647127224
21,7.8,7.4,14.0,0.04,170.0,300.0,3.0,70.04954803079445
22,7.4,6.24,9.5,0.06,500.0,1300.0,2.0,50.51306543666087
23,7.8,6.56,14.0,0.04,170.0,300.0,3.0,55.46958968781828
24,8.3,6.97,18.3,0.01,170.0,280.0,2.0,51.32166061334545
25,7.9,7.3,16.1,0.04,50.0,300.0,2.0,56.32545725948547
26,7.5,6.8,7.4,0.05,130.0,700.0,2.0,51.42939621771889
27,8.2,7.52,14.8,0.09,70.0,140.0,2.0,59.113111724339184
28,7.6,7.07,16.7,0.01,90.0,500.0,2.0,54.702932410332885
29,7.7,7.13,19.2,0.01,90.0,700.0,2.0,55.30807850548999
30,7.5,6.18,7.4,0.05,130.0,700.0,2.0,40.66799839314124
31,8.2,6.7,14.8,0.09,70.0,140.0,2.0,44.880295246671984
32,7.6,6.84,16.7,0.01,90.0,500.0,2.0,50.71080095927987
33,7.7,6.25,19.2,0.01,90.0,700.0,2.0,40.033836431895914
34,7.5,6.9,20.4,0.01,90.0,170.0,2.0,52.16110875211165
35,7.9,6.3,17.7,0.06,8.0,50.0,2.0,37.98610570763275
36,7.9,6.2,19.05,0.17,2.0,2.0,2.0,36.11931222972127
37,6.7,5.8,14.3,0.06,5000.0,5000.0,3.0,155.50192112626573
38,6.7,5.8,14.3,0.06,5000.0,5000.0,3.0,155.50192112626573
39,7.5,6.9,20.4,0.01,90.0,170.0,2.0,52.16110875211165
40,7.9,6.3,17.7,0.06,8.0,50.0,2.0,37.98610570763275
41,7.9,6.2,19.05,0.17,2.0,2.0,2.0,36.11931222972127
42,7.1,6.7,10.6,0.06,1300.0,2200.0,2.0,77.84425958581113
43,7.7,6.6,8.1,0.08,130.0,500.0,2.0,46.95496375903212
44,8.6,6.6,17.9,0.08,70.0,140.0,2.0,41.21980572144018
45,7.7,6.6,17.3,0.11,50.0,170.0,2.0,45.116824825143354
46,7.7,6.6,17.3,0.11,50.0,170.0,2.0,45.116824825143354
47,8.6,6.6,17.9,0.08,70.0,140.0,2.0,41.21980572144018
48,7.1,6.7,10.6,0.06,1300.0,2200.0,2.0,77.84425958581113
49,7.7,6.6,8.1,0.08,130.0,500.0,2.0,46.95496375903212
50,6.2,7.69,86.2,0.15,280.0,350.0,2.0,76.40187799137344
51,6.2,7.5,86.2,0.15,280.0,350.0,2.0,73.10403027093835
52,6.3,7.3,58.9,0.23,300.0,13000.0,3.0,81.24842515752752
