Dissolved oxygen,pH,Conductivity,Nitrate,Fecal coliform,Total coliform,Biological oxygen demand,WQI
7.1,7.64,23.2,0.02,50.0,1700.0,2.0,3
7.1,7.6,23.2,0.02,50.0,1700.0,2.0,3
7.1,6.9,16.9,0.14,170.0,300.0,2.0,3
6.9,7.2,19.6,0.04,110.0,3000.0,2.0,3
6.9,7.0,27.2,0.12,230.0,1700.0,2.0,3
6.4,6.9,52.0,0.07,300.0,500.0,2.0,3
7.4,6.9,56.6,0.01,50.0,170.0,2.0,3
7.2,7.2,17.6,0.78,220.0,1100.0,6.0,4
6.5,6.8,12.0,0.02,110.0,800.0,3.0,3
7.8,7.0,15.7,0.01,80.0,300.0,2.0,3
8.2,7.0,21.1,0.04,110.0,500.0,2.0,3
7.1,6.8,22.4,0.07,17.0,300.0,2.0,3
8.1,6.41,16.6,0.13,80.0,1700.0,2.0,2
7.2,6.77,19.18,0.1,50.0,80.0,2.0,3
7.8,6.2,20.8,0.04,110.0,140.0,2.0,2
7.2,5.6,59.5,0.01,500.0,2400.0,2.0,2
8.1,6.7,16.6,0.13,80.0,1700.0,2.0,2
7.2,7.0,19.18,0.1,50.0,80.0,2.0,3
8.3,7.46,18.3,0.01,170.0,280.0,2.0,3
7.4,6.6,9.5,0.06,500.0,1300.0,2.0,3
7.9,6.5,16.1,0.04,50.0,300.0,2.0,2
7.8,7.4,14.0,0.04,170.0,300.0,3.0,3
7.4,6.24,9.5,0.06,500.0,1300.0,2.0,3
7.8,6.56,14.0,0.04,170.0,300.0,3.0,3
8.3,6.97,18.3,0.01,170.0,280.0,2.0,3
7.9,7.3,16.1,0.04,50.0,300.0,2.0,3
7.5,6.8,7.4,0.05,130.0,700.0,2.0,3
8.2,7.52,14.8,0.09,70.0,140.0,2.0,3
7.6,7.07,16.7,0.01,90.0,500.0,2.0,3
7.7,7.13,19.2,0.01,90.0,700.0,2.0,3
7.5,6.18,7.4,0.05,130.0,700.0,2.0,2
8.2,6.7,14.8,0.09,70.0,140.0,2.0,2
7.6,6.84,16.7,0.01,90.0,500.0,2.0,3
7.7,6.25,19.2,0.01,90.0,700.0,2.0,2
7.5,6.9,20.4,0.01,90.0,170.0,2.0,3
7.9,6.3,17.7,0.06,8.0,50.0,2.0,2
7.9,6.2,19.05,0.17,2.0,2.0,2.0,2
6.7,5.8,14.3,0.06,5000.0,5000.0,3.0,4
6.7,5.8,14.3,0.06,5000.0,5000.0,3.0,4
7.5,6.9,20.4,0.01,90.0,170.0,2.0,3
7.9,6.3,17.7,0.06,8.0,50.0,2.0,2
7.9,6.2,19.05,0.17,2.0,2.0,2.0,2
7.1,6.7,10.6,0.06,1300.0,2200.0,2.0,4
7.7,6.6,8.1,0.08,130.0,500.0,2.0,2
8.6,6.6,17.9,0.08,70.0,140.0,2.0,2
7.7,6.6,17.3,0.11,50.0,170.0,2.0,2
7.7,6.6,17.3,0.11,50.0,170.0,2.0,2
8.6,6.6,17.9,0.08,70.0,140.0,2.0,2
7.1,6.7,10.6,0.06,1300.0,2200.0,2.0,4
7.7,6.6,8.1,0.08,130.0,500.0,2.0,2
6.2,7.69,86.2,0.15,280.0,350.0,2.0,4
6.2,7.5,86.2,0.15,280.0,350.0,2.0,3
6.3,7.3,58.9,0.23,300.0,13000.0,3.0,4
6.3,7.3,58.9,0.23,300.0,13000.0,3.0,4
7.3,6.9,63.0,0.12,170.0,500.0,2.0,3
6.8,6.9,62.3,0.37,300.0,800.0,7.0,4
6.0,7.2,75.6,0.14,800.0,3000.0,2.0,4
6.5,7.1,55.9,0.115,800.0,13000.0,2.0,4
7.2,6.9,55.2,0.07,7.0,280.0,2.0,3
5.9,6.7,59.1,0.05,140.0,2400.0,2.0,3
6.9,7.1,61.7,0.02,300.0,1100.0,2.0,3
7.8,7.2,67.8,0.08,50.0,500.0,2.0,3
6.3,7.2,78.0,0.2,300.0,500.0,2.0,3
7.7,6.9,61.0,0.33,1100.0,5000.0,2.0,3
7.5,7.42,73.9,0.1,80.0,1100.0,2.0,3
6.1,6.8,29.1,0.04,8000.0,24000.0,2.0,4
7.7,7.2,61.0,0.33,1100.0,5000.0,2.0,4
7.5,7.2,73.9,0.1,80.0,1100.0,2.0,3
7.3,6.8,66.7,0.04,130.0,280.0,2.0,3
7.2,7.71,57.4,0.18,500.0,800.0,2.0,4
6.8,6.2,36.6,0.11,1300.0,8000.0,2.0,3
7.7,7.69,69.3,0.13,50.0,500.0,2.0,3
7.7,7.33,69.3,0.13,50.0,500.0,2.0,3
7.2,7.02,57.4,0.18,500.0,800.0,2.0,3
6.8,6.83,36.6,0.11,1300.0,800.0,2.0,4
7.2,7.75,77.3,0.07,3500.0,3500.0,2.0,4
6.5,7.17,41.8,0.05,1400.0,13000.0,3.0,4
7.1,7.38,64.3,0.1,80.0,800.0,2.0,3
7.5,7.3,58.3,0.15,90.0,1100.0,2.0,3
6.5,6.81,41.8,0.05,1400.0,13000.0,3.0,4
7.1,7.07,64.3,0.1,80.0,800.0,2.0,3
7.5,7.31,58.3,0.15,90.0,1100.0,2.0,3
7.2,6.83,77.3,0.07,3500.0,3500.0,2.0,4
7.8,6.8,64.9,0.18,30.0,50.0,2.0,2
6.8,6.9,68.2,0.13,30.0,70.0,2.0,3
4.7,6.5,57.5,0.25,800.0,2300.0,2.0,3
6.6,7.4,64.5,0.15,170.0,500.0,2.0,3
4.7,6.5,57.5,0.25,800.0,2300.0,2.0,3
6.6,7.4,64.5,0.15,170.0,500.0,2.0,3
7.8,6.8,64.9,0.18,30.0,50.0,2.0,2
6.8,6.9,68.2,0.13,30.0,70.0,2.0,3
6.3,7.3,46.0,0.17,2200.0,11000.0,2.0,4
7.2,7.2,56.3,0.14,230.0,3000.0,2.0,3
8.1,7.4,62.7,0.12,30.0,130.0,2.0,3
