Dissolved oxygen,pH,Conductivity,Nitrate,Fecal coliform,Total coliform,Biological oxygen demand,WQI
7.7,7.05,23.3,0.03,33.2,816.4,1.0,2
8.1,7.27,15.0,0.03,63.0,6867.0,1.0,2
7.0,6.65,22.4,0.03,1664.0,24192.0,1.0,4
7.36,6.61,15.03,0.05,631.0,5475.0,1.0,3
7.12,6.85,28.0,0.05,26.3,1299.7,1.0,2
5.33,6.86,53.1,0.06,203.0,3428.0,1.0,3
5.13,6.66,59.1,0.11,2400.0,19863.0,1.2,4
6.24,6.91,37.4,0.04,4611.0,24196.0,1.0,4
7.0,6.08,7.48,0.09,10.0,24192.0,1.0,2
5.28,7.1,6.38,0.1,389.0,1464.0,1.0,3
6.27,6.87,56.9,0.1,134.0,1793.0,1.0,3
7.45,7.08,39.3,0.1,74.0,3255.0,1.0,2
7.38,6.52,10.82,0.1,171.0,2489.0,1.0,2
5.9,6.31,59.0,0.1,3654.0,24192.0,1.0,4
9.51,6.63,22.0,0.1,110.0,4106.0,1.0,2
3.99,6.84,282.0,0.1,379.0,12997.0,1.0,3
3.4,6.82,58.0,0.1,487.0,24192.0,2.0,4
5.8,5.87,213.0,0.02,10.0,10.0,1.0,2
6.3,6.7,4.0,0.02,1203.0,1733.0,1.0,3
5.5,6.0,2.9,0.02,10.0,855.0,1.0,2
5.4,6.34,11.0,0.02,17.0,179.0,1.0,2
5.3,4.82,3.0,0.02,20.0,576.0,1.0,1
6.12,5.73,4.51,0.02,1.0,41.0,1.0,2
6.0,7.34,5.0,0.02,31.0,520.0,1.0,3
7.3,5.24,3.68,0.02,10.0,328.0,1.0,1
7.07,5.09,7.8,0.03,41.0,512.0,1.0,1
6.4,5.28,3.45,0.02,41.0,474.0,1.0,1
7.27,5.21,3.58,0.02,20.0,6131.0,1.0,1
5.8,5.14,3.35,0.03,10.0,218.0,1.0,1
5.1,5.26,5.05,0.02,85.0,12033.0,1.0,2
6.48,5.3,3.26,0.02,10.0,960.0,1.0,1
7.57,6.39,8.99,0.09,85.0,2247.0,1.0,2
6.18,5.13,5.46,0.1,74.0,882.0,1.0,1
7.27,6.2,3.0,0.1,10.0,691.0,0.0,1
5.96,5.27,3.43,0.09,41.0,448.0,1.0,1
6.21,5.4,3.95,0.1,10.0,246.0,1.0,1
8.36,5.03,7.71,0.1,20.0,1039.0,1.0,1
5.74,4.77,5.0,0.1,52.0,2143.0,2.0,1
5.62,4.84,4.0,0.1,10.0,959.0,1.0,1
6.0,5.45,8.0,0.1,10.0,187.0,1.0,1
2.75,5.69,48.0,0.1,10.0,201.0,1.0,2
3.65,5.24,2.0,0.1,10.0,402.0,1.0,2
4.03,5.6,2.0,0.2,63.0,1722.0,1.0,2
7.2,5.9,5.0,0.02,17.0,649.0,1.0,2
