17_OD_mgl_02,18_PH,50_Condutivida_de_Eletrica_us_cm_a_20c,13_Nitratos_mgl_n),46_Coliformes_Fecais_nmp_100ml,47_Coliformes_Totais_nmp_100ml,7_DBO_mgl_02)
7.1,7.64,23.2,0.02,50.0,1700.0,2.0
7.1,7.6,23.2,0.02,50.0,1700.0,2.0
7.1,6.9,16.9,0.14,170.0,300.0,2.0
6.9,7.2,19.6,0.04,110.0,3000.0,2.0
6.9,7.0,27.2,0.12,230.0,1700.0,2.0
6.4,6.9,52.0,0.07,300.0,500.0,2.0
7.4,6.9,56.6,0.01,50.0,170.0,2.0
7.2,7.2,17.6,0.78,220.0,1100.0,6.0
6.5,6.8,12.0,0.02,110.0,800.0,3.0
7.8,7.0,15.7,0.01,80.0,300.0,2.0
8.2,7.0,21.1,0.04,110.0,500.0,2.0
7.1,6.8,22.4,0.07,17.0,300.0,2.0
8.1,6.41,16.6,0.13,80.0,1700.0,2.0
7.2,6.77,19.18,0.1,50.0,80.0,2.0
7.8,6.2,20.8,0.04,110.0,140.0,2.0
7.2,5.6,59.5,0.01,500.0,2400.0,2.0
8.1,6.7,16.6,0.13,80.0,1700.0,2.0
7.2,7.0,19.18,0.1,50.0,80.0,2.0
8.3,7.46,18.3,0.01,170.0,280.0,2.0
7.4,6.6,9.5,0.06,500.0,1300.0,2.0
7.9,6.5,16.1,0.04,50.0,300.0,2.0
7.8,7.4,14.0,0.04,170.0,300.0,3.0
7.4,6.24,9.5,0.06,500.0,1300.0,2.0
7.8,6.56,14.0,0.04,170.0,300.0,3.0
8.3,6.97,18.3,0.01,170.0,280.0,2.0
7.9,7.3,16.1,0.04,50.0,300.0,2.0
7.5,6.8,7.4,0.05,130.0,700.0,2.0
8.2,7.52,14.8,0.09,70.0,140.0,2.0
7.6,7.07,16.7,0.01,90.0,500.0,2.0
7.7,7.13,19.2,0.01,90.0,700.0,2.0
7.5,6.18,7.4,0.05,130.0,700.0,2.0
8.2,6.7,14.8,0.09,70.0,140.0,2.0
7.6,6.84,16.7,0.01,90.0,500.0,2.0
7.7,6.25,19.2,0.01,90.0,700.0,2.0
7.5,6.9,20.4,0.01,90.0,170.0,2.0
7.9,6.3,17.7,0.06,8.0,50.0,2.0
7.9,6.2,19.05,0.17,2.0,2.0,2.0
6.7,5.8,14.3,0.06,5000.0,5000.0,3.0
6.7,5.8,14.3,0.06,5000.0,5000.0,3.0
7.5,6.9,20.4,0.01,90.0,170.0,2.0
7.9,6.3,17.7,0.06,8.0,50.0,2.0
7.9,6.2,19.05,0.17,2.0,2.0,2.0
7.1,6.7,10.6,0.06,1300.0,2200.0,2.0
7.7,6.6,8.1,0.08,130.0,500.0,2.0
8.6,6.6,17.9,0.08,70.0,140.0,2.0
7.7,6.6,17.3,0.11,50.0,170.0,2.0
7.7,6.6,17.3,0.11,50.0,170.0,2.0
8.6,6.6,17.9,0.08,70.0,140.0,2.0
7.1,6.7,10.6,0.06,1300.0,2200.0,2.0
7.7,6.6,8.1,0.08,130.0,500.0,2.0
6.2,7.69,86.2,0.15,280.0,350.0,2.0
6.2,7.5,86.2,0.15,280.0,350.0,2.0
6.3,7.3,58.9,0.23,300.0,13000.0,3.0
6.3,7.3,58.9,0.23,300.0,13000.0,3.0
7.3,6.9,63.0,0.12,170.0,500.0,2.0
6.8,6.9,62.3,0.37,300.0,800.0,7.0
6.0,7.2,75.6,0.14,800.0,3000.0,2.0
6.5,7.1,55.9,0.115,800.0,13000.0,2.0
7.2,6.9,55.2,0.07,7.0,280.0,2.0
5.9,6.7,59.1,0.05,140.0,2400.0,2.0
6.9,7.1,61.7,0.02,300.0,1100.0,2.0
7.8,7.2,67.8,0.08,50.0,500.0,2.0
6.3,7.2,78.0,0.2,300.0,500.0,2.0
7.7,6.9,61.0,0.33,1100.0,5000.0,2.0
7.5,7.42,73.9,0.1,80.0,1100.0,2.0
6.1,6.8,29.1,0.04,8000.0,24000.0,2.0
7.7,7.2,61.0,0.33,1100.0,5000.0,2.0
7.5,7.2,73.9,0.1,80.0,1100.0,2.0
7.3,6.8,66.7,0.04,130.0,280.0,2.0
